2	5	8	15	
3	6	1	10	
9	13	4	0	
11	12	14	7	
2	5	8	15	
3	6	1	10	
9	13	4	0	
11	12	14	7	
10	4	7	14	
1	2	3	8	
9	0	6	15	
5	13	12	11	
10	2	12	6	
9	5	7	4	
13	0	3	15	
1	11	8	14	
6	2	4	3	
0	9	14	12	
15	7	11	5	
13	1	8	10	
3	15	5	6	
9	8	14	2	
1	0	13	4	
12	10	11	7	
5	9	1	4	
0	7	14	12	
13	10	15	3	
2	8	11	6	
1	8	3	7	
5	12	11	13	
6	0	9	15	
2	10	14	4	
4	10	7	3	
6	1	13	2	
9	0	12	5	
15	14	8	11	
9	13	2	1	
8	5	0	15	
11	14	4	10	
6	12	7	3	
4	9	11	5	
1	8	7	15	
10	3	12	0	
6	13	2	14	
13	14	10	3	
0	5	2	4	
6	7	1	11	
15	12	9	8	
11	2	10	7	
14	9	1	3	
8	4	12	6	
0	13	5	15	
1	9	7	8	
0	5	10	3	
11	2	13	4	
12	6	14	15	
2	7	5	3	
12	10	0	1	
6	14	9	4	
13	8	11	15	
15	5	11	8	
10	7	4	6	
9	3	13	2	
0	1	12	14	
3	1	4	11	
2	9	0	8	
6	15	10	13	
5	7	14	12	
7	11	1	0	
2	5	8	3	
13	6	15	4	
10	14	12	9	
10	4	2	8	
7	9	1	15	
11	6	12	5	
14	13	0	3	
12	14	8	9	
1	6	0	4	
7	15	2	5	
10	11	13	3	
13	6	5	4	
11	15	1	3	
10	9	14	0	
8	2	12	7	
3	6	15	2	
11	8	0	14	
1	7	4	5	
9	13	10	12	
10	7	6	4	
5	12	0	13	
11	3	14	15	
2	1	8	9	
1	13	12	10	
3	9	0	7	
2	4	11	8	
5	15	14	6	
2	1	15	7	
10	9	4	3	
6	0	12	8	
13	5	14	11	
11	1	5	2	
4	14	9	3	
6	12	10	15	
0	13	7	8	
14	2	13	5	
12	7	6	15	
9	11	3	8	
4	1	0	10	
1	4	3	8	
0	9	11	12	
6	5	2	7	
15	10	14	13	
3	15	2	4	
0	1	10	8	
12	7	14	6	
9	5	13	11	
13	5	10	15	
3	14	0	4	
1	12	9	6	
7	8	11	2	
11	9	14	2	
1	7	12	4	
6	15	8	13	
0	5	3	10	
4	3	12	5	
8	14	2	11	
10	13	1	15	
6	9	0	7	
2	3	11	6	
14	8	7	9	
13	5	12	0	
15	4	10	1	
6	2	3	1	
11	13	10	15	
5	0	14	7	
9	12	4	8	
3	1	6	4	
0	5	8	11	
10	9	14	15	
7	2	13	12	
1	3	4	2	
5	9	0	6	
13	15	7	12	
14	8	10	11	
12	9	14	8	
10	13	11	1	
5	15	7	2	
3	6	0	4	
12	5	7	2	
6	1	13	3	
10	9	15	14	
0	11	4	8	
5	0	7	8	
9	4	2	13	
12	1	3	10	
14	15	6	11	
6	1	5	4	
0	3	11	12	
9	2	15	14	
10	7	13	8	
10	15	6	1	
14	8	0	4	
7	13	9	2	
3	12	5	11	
10	0	14	2	
15	1	5	11	
8	12	7	9	
13	6	3	4	
4	7	14	0	
1	9	8	6	
5	15	3	12	
13	2	11	10	
5	3	8	0	
14	15	6	2	
4	1	12	7	
13	11	9	10	
1	10	2	3	
5	11	6	9	
7	8	14	12	
4	13	0	15	
13	0	5	14	
1	11	10	2	
7	15	4	3	
6	12	9	8	
14	2	5	1	
0	9	13	12	
4	7	15	8	
3	10	6	11	
5	10	2	8	
3	13	7	9	
6	14	11	0	
15	1	4	12	
1	8	13	3	
0	2	12	4	
6	5	10	15	
9	7	11	14	
12	13	15	8	
6	1	5	7	
2	4	10	11	
14	9	0	3	
5	0	2	14	
12	8	3	9	
4	1	15	11	
6	7	13	10	
12	5	6	4	
3	2	1	7	
10	0	15	11	
13	9	8	14	
1	5	2	12	
9	13	0	4	
6	8	15	3	
7	10	11	14	
9	5	3	14	
4	13	15	2	
12	10	7	1	
6	11	0	8	
15	6	3	13	
5	1	0	9	
2	7	4	8	
14	12	10	11	
15	10	5	3	
1	7	6	4	
11	0	13	8	
9	14	12	2	
2	0	13	7	
4	9	1	5	
8	12	10	3	
15	6	14	11	
9	6	7	8	
3	11	12	13	
14	4	10	15	
2	1	0	5	
8	0	1	12	
2	11	14	4	
5	10	7	3	
6	13	15	9	
3	0	2	8	
5	13	6	4	
7	12	15	11	
9	14	1	10	
4	14	8	7	
9	6	2	5	
13	11	10	3	
0	1	15	12	
9	2	12	10	
7	5	14	4	
13	6	1	0	
3	11	15	8	
13	11	4	15	
9	12	0	3	
10	6	5	14	
1	8	2	7	
3	8	10	0	
14	6	7	13	
5	1	2	11	
9	15	12	4	
3	8	9	7	
5	14	1	4	
15	10	2	0	
12	13	6	11	
5	4	8	12	
6	11	0	13	
7	14	2	15	
10	1	9	3	
4	0	7	2	
5	3	1	6	
12	9	15	10	
13	14	8	11	
2	13	7	12	
4	11	8	15	
3	1	6	10	
5	9	0	14	
1	5	8	10	
14	3	2	6	
15	0	9	12	
11	4	13	7	
7	12	8	5	
14	1	2	6	
10	13	11	0	
9	15	3	4	
5	12	1	15	
11	14	2	10	
9	8	3	0	
13	6	4	7	
14	3	8	7	
5	12	4	10	
13	0	1	9	
6	11	2	15	
6	0	3	12	
11	1	4	2	
13	5	8	15	
10	7	9	14	
12	6	14	8	
9	2	7	3	
11	0	10	13	
1	5	15	4	
5	1	4	15	
13	3	7	8	
2	6	10	0	
9	12	11	14	
1	3	6	12	
5	10	4	13	
8	9	14	0	
2	15	11	7	
5	1	8	2	
0	6	3	11	
12	10	4	13	
14	7	9	15	
9	1	4	12	
13	5	10	7	
6	0	2	3	
11	8	14	15	
10	14	3	4	
11	5	6	1	
15	8	2	13	
0	9	7	12	
6	10	15	2	
12	14	3	13	
1	0	8	11	
7	4	9	5	
13	3	4	2	
10	7	8	12	
9	1	6	15	
5	14	0	11	
5	13	2	0	
1	4	10	11	
8	3	7	12	
9	14	6	15	
4	11	14	12	
3	8	15	9	
6	5	2	0	
10	7	1	13	
5	12	9	2	
7	13	8	4	
11	0	3	1	
10	15	6	14	
15	6	5	12	
2	9	10	11	
3	4	1	8	
13	7	0	14	
4	3	2	12	
7	11	9	15	
6	10	8	0	
13	1	5	14	
1	10	14	7	
9	13	4	5	
3	0	15	12	
11	6	8	2	
13	6	14	1	
2	9	5	8	
11	0	7	4	
10	12	3	15	
12	0	10	13	
7	4	14	6	
5	15	1	3	
9	11	2	8	
7	9	4	10	
2	13	8	11	
1	0	6	5	
14	12	15	3	
3	0	9	7	
1	12	11	2	
4	15	13	5	
10	6	8	14	
1	6	12	4	
14	7	0	13	
11	5	3	2	
10	9	8	15	
10	6	11	2	
4	9	0	1	
5	8	12	15	
13	7	3	14	
9	2	10	5	
4	12	11	8	
7	0	1	3	
13	15	14	6	
2	12	9	10	
0	14	3	1	
4	5	15	8	
6	13	7	11	
14	1	6	12	
10	7	0	2	
9	15	5	3	
8	11	13	4	
1	9	3	8	
2	4	10	15	
6	14	7	12	
13	5	0	11	
12	1	9	10	
5	2	15	14	
13	8	7	6	
11	3	0	4	
6	11	3	4	
7	13	12	1	
10	5	2	0	
9	14	8	15	
1	5	15	11	
0	3	6	2	
8	10	7	9	
14	13	4	12	
